Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;924;-;-;924;-;-
Ungültige Stimmen;10;1,1 %;-;3;0,3 %;-
Gültige Stimmen;914;98,9 %;-;921;99,7 %;-
SPD;269;29,4 %;-;296;32,1 %;-
AfD;201;22,0 %;-;177;19,2 %;-
CDU;278;30,4 %;-;187;20,3 %;-
GRÜNE/B 90;41;4,5 %;-;36;3,9 %;-
DIE LINKE;56;6,1 %;-;19;2,1 %;-
BVB / FREIE WÄHLER;57;6,2 %;-;21;2,3 %;-
FDP;12;1,3 %;-;8;0,9 %;-
Tierschutzpartei;-;-;-;22;2,4 %;-
Plus;-;-;-;10;1,1 %;-
BSW;-;-;-;138;15,0 %;-
III. Weg;-;-;-;2;0,2 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;4;0,4 %;-
WU;-;-;-;1;0,1 %;-
