Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;709;-;-;709;-;-
Ungültige Stimmen;13;1,8 %;-;4;0,6 %;-
Gültige Stimmen;696;98,2 %;-;705;99,4 %;-
SPD;192;27,6 %;-;199;28,2 %;-
AfD;188;27,0 %;-;164;23,3 %;-
CDU;159;22,8 %;-;94;13,3 %;-
GRÜNE/B 90;20;2,9 %;-;25;3,5 %;-
DIE LINKE;58;8,3 %;-;14;2,0 %;-
BVB / FREIE WÄHLER;64;9,2 %;-;25;3,5 %;-
FDP;15;2,2 %;-;11;1,6 %;-
Tierschutzpartei;-;-;-;24;3,4 %;-
Plus;-;-;-;7;1,0 %;-
BSW;-;-;-;138;19,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,1 %;-
DLW;-;-;-;3;0,4 %;-
WU;-;-;-;0;0,0 %;-
