Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;717;-;-;717;-;-
Ungültige Stimmen;10;1,4 %;-;4;0,6 %;-
Gültige Stimmen;707;98,6 %;-;713;99,4 %;-
SPD;219;31,0 %;-;208;29,2 %;-
AfD;157;22,2 %;-;139;19,5 %;-
CDU;170;24,0 %;-;134;18,8 %;-
GRÜNE/B 90;27;3,8 %;-;29;4,1 %;-
DIE LINKE;54;7,6 %;-;23;3,2 %;-
BVB / FREIE WÄHLER;60;8,5 %;-;21;2,9 %;-
FDP;8;1,1 %;-;9;1,3 %;-
Tierschutzpartei;-;-;-;22;3,1 %;-
Plus;-;-;-;4;0,6 %;-
BSW;-;-;-;117;16,4 %;-
III. Weg;-;-;-;1;0,1 %;-
DKP;3;0,4 %;-;0;0,0 %;-
DLW;-;-;-;5;0,7 %;-
WU;-;-;-;1;0,1 %;-
EB Schamberger;9;1,3 %;-;-;-;-
