Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;665;-;-;665;-;-
Ungültige Stimmen;5;0,8 %;-;2;0,3 %;-
Gültige Stimmen;660;99,2 %;-;663;99,7 %;-
SPD;223;33,8 %;-;204;30,8 %;-
AfD;156;23,6 %;-;136;20,5 %;-
CDU;101;15,3 %;-;79;11,9 %;-
GRÜNE/B 90;20;3,0 %;-;16;2,4 %;-
DIE LINKE;66;10,0 %;-;29;4,4 %;-
BVB / FREIE WÄHLER;80;12,1 %;-;34;5,1 %;-
FDP;8;1,2 %;-;5;0,8 %;-
Tierschutzpartei;-;-;-;20;3,0 %;-
Plus;-;-;-;8;1,2 %;-
BSW;-;-;-;128;19,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;6;0,9 %;-;0;0,0 %;-
DLW;-;-;-;3;0,5 %;-
WU;-;-;-;1;0,2 %;-
