Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;728;-;-;728;-;-
Ungültige Stimmen;14;1,9 %;-;4;0,5 %;-
Gültige Stimmen;714;98,1 %;-;724;99,5 %;-
SPD;228;31,9 %;-;240;33,1 %;-
AfD;167;23,4 %;-;152;21,0 %;-
CDU;104;14,6 %;-;95;13,1 %;-
GRÜNE/B 90;31;4,3 %;-;40;5,5 %;-
DIE LINKE;22;3,1 %;-;19;2,6 %;-
BVB / FREIE WÄHLER;133;18,6 %;-;34;4,7 %;-
FDP;8;1,1 %;-;8;1,1 %;-
Tierschutzpartei;-;-;-;15;2,1 %;-
Plus;14;2,0 %;-;8;1,1 %;-
BSW;-;-;-;107;14,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;2;0,3 %;-
DLW;7;1,0 %;-;3;0,4 %;-
WU;-;-;-;1;0,1 %;-
