Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;651;-;-;651;-;-
Ungültige Stimmen;10;1,5 %;-;2;0,3 %;-
Gültige Stimmen;641;98,5 %;-;649;99,7 %;-
SPD;223;34,8 %;-;219;33,7 %;-
AfD;118;18,4 %;-;103;15,9 %;-
CDU;138;21,5 %;-;108;16,6 %;-
GRÜNE/B 90;30;4,7 %;-;24;3,7 %;-
DIE LINKE;36;5,6 %;-;23;3,5 %;-
BVB / FREIE WÄHLER;56;8,7 %;-;25;3,9 %;-
FDP;5;0,8 %;-;2;0,3 %;-
Tierschutzpartei;-;-;-;17;2,6 %;-
Plus;14;2,2 %;-;10;1,5 %;-
BSW;-;-;-;114;17,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;21;3,3 %;-;2;0,3 %;-
WU;-;-;-;2;0,3 %;-
