Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;761;-;-;761;-;-
Ungültige Stimmen;12;1,6 %;-;2;0,3 %;-
Gültige Stimmen;749;98,4 %;-;759;99,7 %;-
SPD;246;32,8 %;-;231;30,4 %;-
AfD;194;25,9 %;-;154;20,3 %;-
CDU;161;21,5 %;-;128;16,9 %;-
GRÜNE/B 90;31;4,1 %;-;22;2,9 %;-
DIE LINKE;35;4,7 %;-;22;2,9 %;-
BVB / FREIE WÄHLER;37;4,9 %;-;25;3,3 %;-
FDP;9;1,2 %;-;2;0,3 %;-
Tierschutzpartei;-;-;-;15;2,0 %;-
Plus;13;1,7 %;-;13;1,7 %;-
BSW;-;-;-;127;16,7 %;-
III. Weg;-;-;-;6;0,8 %;-
DKP;-;-;-;0;0,0 %;-
DLW;23;3,1 %;-;12;1,6 %;-
WU;-;-;-;2;0,3 %;-
