Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;826;-;-;826;-;-
Ungültige Stimmen;4;0,5 %;-;1;0,1 %;-
Gültige Stimmen;822;99,5 %;-;825;99,9 %;-
SPD;353;42,9 %;-;305;37,0 %;-
AfD;184;22,4 %;-;141;17,1 %;-
CDU;132;16,1 %;-;113;13,7 %;-
GRÜNE/B 90;5;0,6 %;-;9;1,1 %;-
DIE LINKE;41;5,0 %;-;23;2,8 %;-
BVB / FREIE WÄHLER;35;4,3 %;-;16;1,9 %;-
FDP;8;1,0 %;-;7;0,8 %;-
Tierschutzpartei;-;-;-;13;1,6 %;-
Plus;21;2,6 %;-;13;1,6 %;-
BSW;-;-;-;159;19,3 %;-
III. Weg;-;-;-;1;0,1 %;-
DKP;-;-;-;1;0,1 %;-
DLW;43;5,2 %;-;21;2,5 %;-
WU;-;-;-;3;0,4 %;-
