Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;642;-;-;642;-;-
Ungültige Stimmen;7;1,1 %;+08;2;0,3 %;+00
Gültige Stimmen;635;98,9 %;-08;640;99,7 %;-00
SPD;184;29,0 %;+02;177;27,7 %;+24
AfD;185;29,1 %;+19;149;23,3 %;-40
CDU;123;19,4 %;+44;101;15,8 %;+02
GRÜNE/B 90;14;2,2 %;-84;3;0,5 %;-104
DIE LINKE;30;4,7 %;-17;11;1,7 %;-47
BVB / FREIE WÄHLER;45;7,1 %;-02;16;2,5 %;-31
FDP;5;0,8 %;-39;5;0,8 %;-63
Tierschutzpartei;-;-;-;11;1,7 %;+08
Plus;18;2,8 %;+28;11;1,7 %;+05
BSW;-;-;-;138;21,6 %;+216
III. Weg;-;-;-;4;0,6 %;+06
DKP;-;-;-;0;0,0 %;00
DLW;31;4,9 %;+49;14;2,2 %;+22
WU;-;-;-;0;0,0 %;00
