Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;907;-;-;907;-;-
Ungültige Stimmen;5;0,6 %;+04;1;0,1 %;-01
Gültige Stimmen;902;99,4 %;-04;906;99,9 %;+01
SPD;276;30,6 %;+74;266;29,4 %;+36
AfD;237;26,3 %;+41;200;22,1 %;+02
CDU;201;22,3 %;+42;153;16,9 %;+08
GRÜNE/B 90;36;4,0 %;-81;50;5,5 %;-77
DIE LINKE;43;4,8 %;-88;14;1,5 %;-97
BVB / FREIE WÄHLER;72;8,0 %;+13;29;3,2 %;-19
FDP;5;0,6 %;-35;1;0,1 %;-33
Tierschutzpartei;-;-;-;23;2,5 %;+00
Plus;18;2,0 %;+20;2;0,2 %;-05
BSW;-;-;-;157;17,3 %;+173
III. Weg;-;-;-;1;0,1 %;+01
DKP;-;-;-;0;0,0 %;00
DLW;14;1,6 %;+16;4;0,4 %;+04
WU;-;-;-;6;0,7 %;+07
