Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;558;-;-;558;-;-
Ungültige Stimmen;8;1,4 %;-;2;0,4 %;-
Gültige Stimmen;550;98,6 %;-;556;99,6 %;-
SPD;164;29,8 %;-;162;29,1 %;-
AfD;165;30,0 %;-;146;26,3 %;-
CDU;117;21,3 %;-;91;16,4 %;-
GRÜNE/B 90;10;1,8 %;-;11;2,0 %;-
DIE LINKE;28;5,1 %;-;19;3,4 %;-
BVB / FREIE WÄHLER;28;5,1 %;-;16;2,9 %;-
FDP;7;1,3 %;-;6;1,1 %;-
Tierschutzpartei;-;-;-;8;1,4 %;-
Plus;12;2,2 %;-;1;0,2 %;-
BSW;-;-;-;90;16,2 %;-
III. Weg;-;-;-;1;0,2 %;-
DKP;-;-;-;0;0,0 %;-
DLW;19;3,5 %;-;5;0,9 %;-
WU;-;-;-;0;0,0 %;-
