Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;675;-;-;675;-;-
Ungültige Stimmen;9;1,3 %;-;7;1,0 %;-
Gültige Stimmen;666;98,7 %;-;668;99,0 %;-
SPD;296;44,4 %;-;254;38,0 %;-
AfD;176;26,4 %;-;142;21,3 %;-
CDU;93;14,0 %;-;96;14,4 %;-
GRÜNE/B 90;20;3,0 %;-;26;3,9 %;-
DIE LINKE;15;2,3 %;-;8;1,2 %;-
BVB / FREIE WÄHLER;25;3,8 %;-;11;1,6 %;-
FDP;7;1,1 %;-;4;0,6 %;-
Tierschutzpartei;-;-;-;17;2,5 %;-
Plus;12;1,8 %;-;8;1,2 %;-
BSW;-;-;-;89;13,3 %;-
III. Weg;-;-;-;1;0,1 %;-
DKP;-;-;-;2;0,3 %;-
DLW;22;3,3 %;-;10;1,5 %;-
WU;-;-;-;0;0,0 %;-
