Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;603;-;-;603;-;-
Ungültige Stimmen;5;0,8 %;-08;3;0,5 %;-01
Gültige Stimmen;598;99,2 %;+08;600;99,5 %;+01
SPD;149;24,9 %;+82;182;30,3 %;+61
AfD;174;29,1 %;+24;153;25,5 %;-22
CDU;118;19,7 %;-75;91;15,2 %;-29
GRÜNE/B 90;14;2,3 %;-19;14;2,3 %;-26
DIE LINKE;21;3,5 %;-123;7;1,2 %;-137
BVB / FREIE WÄHLER;52;8,7 %;+13;20;3,3 %;-07
FDP;9;1,5 %;-04;2;0,3 %;-29
Tierschutzpartei;-;-;-;6;1,0 %;-11
Plus;16;2,7 %;+27;8;1,3 %;+07
BSW;-;-;-;111;18,5 %;+185
III. Weg;-;-;-;1;0,2 %;+02
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;3;0,5 %;+05
WU;-;-;-;2;0,3 %;+03
EB Gliese;45;7,5 %;+75;-;-;-
