Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;822;-;-;822;-;-
Ungültige Stimmen;9;1,1 %;-05;6;0,7 %;-02
Gültige Stimmen;813;98,9 %;+05;816;99,3 %;+02
SPD;217;26,7 %;+75;229;28,1 %;+44
AfD;191;23,5 %;+69;176;21,6 %;+13
CDU;163;20,0 %;-129;131;16,1 %;-60
GRÜNE/B 90;25;3,1 %;-52;25;3,1 %;-55
DIE LINKE;48;5,9 %;-61;19;2,3 %;-85
BVB / FREIE WÄHLER;66;8,1 %;+04;31;3,8 %;-33
FDP;12;1,5 %;-19;10;1,2 %;-39
Tierschutzpartei;-;-;-;8;1,0 %;-04
Plus;13;1,6 %;+16;10;1,2 %;+02
BSW;-;-;-;165;20,2 %;+202
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;5;0,6 %;+06
WU;-;-;-;7;0,9 %;+09
EB Gliese;78;9,6 %;+96;-;-;-
