Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;697;-;-;697;-;-
Ungültige Stimmen;8;1,1 %;-;3;0,4 %;-
Gültige Stimmen;689;98,9 %;-;694;99,6 %;-
SPD;144;20,9 %;-;184;26,5 %;-
AfD;155;22,5 %;-;147;21,2 %;-
CDU;188;27,3 %;-;132;19,0 %;-
GRÜNE/B 90;18;2,6 %;-;18;2,6 %;-
DIE LINKE;30;4,4 %;-;13;1,9 %;-
BVB / FREIE WÄHLER;62;9,0 %;-;24;3,5 %;-
FDP;29;4,2 %;-;5;0,7 %;-
Tierschutzpartei;-;-;-;8;1,2 %;-
Plus;26;3,8 %;-;18;2,6 %;-
BSW;-;-;-;134;19,3 %;-
III. Weg;-;-;-;1;0,1 %;-
DKP;-;-;-;2;0,3 %;-
DLW;-;-;-;5;0,7 %;-
WU;-;-;-;3;0,4 %;-
EB Gliese;37;5,4 %;-;-;-;-
