Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;750;-;-;750;-;-
Ungültige Stimmen;11;1,5 %;-;3;0,4 %;-
Gültige Stimmen;739;98,5 %;-;747;99,6 %;-
SPD;214;29,0 %;-;212;28,4 %;-
AfD;141;19,1 %;-;116;15,5 %;-
CDU;158;21,4 %;-;121;16,2 %;-
GRÜNE/B 90;32;4,3 %;-;31;4,1 %;-
DIE LINKE;66;8,9 %;-;28;3,7 %;-
BVB / FREIE WÄHLER;90;12,2 %;-;26;3,5 %;-
FDP;13;1,8 %;-;9;1,2 %;-
Tierschutzpartei;-;-;-;9;1,2 %;-
Plus;25;3,4 %;-;12;1,6 %;-
BSW;-;-;-;179;24,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,1 %;-
DLW;-;-;-;3;0,4 %;-
WU;-;-;-;0;0,0 %;-
