Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0.0;-;-
Wählende;1.144;-;-;1.144;-;-
Ungültige Stimmen;9;0,8 %;+01;4.0;0,3 %;-02
Gültige Stimmen;1.135;99,2 %;-01;1.14;99,7 %;+02
SPD;298;26,3 %;+56;331.0;29,0 %;+69
AfD;214;18,9 %;+42;193.0;16,9 %;+10
CDU;231;20,4 %;+40;197.0;17,3 %;+21
GRÜNE/B 90;52;4,6 %;-83;40.0;3,5 %;-98
DIE LINKE;76;6,7 %;-116;27.0;2,4 %;-137
BVB / FREIE WÄHLER;215;18,9 %;+62;72.0;6,3 %;-21
FDP;17;1,5 %;-30;14.0;1,2 %;-30
Tierschutzpartei;-;-;-;21.0;1,8 %;-12
Plus;32;2,8 %;+28;20.0;1,8 %;+03
BSW;-;-;-;216.0;18,9 %;+189
III. Weg;-;-;-;0.0;0,0 %;00
DKP;-;-;-;1.0;0,1 %;+01
DLW;-;-;-;3.0;0,3 %;+03
WU;-;-;-;5.0;0,4 %;+04
