Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;582;-;-;582;-;-
Ungültige Stimmen;10;1,7 %;-;4;0,7 %;-
Gültige Stimmen;572;98,3 %;-;578;99,3 %;-
SPD;208;36,4 %;-;173;29,9 %;-
AfD;122;21,3 %;-;103;17,8 %;-
CDU;121;21,2 %;-;85;14,7 %;-
GRÜNE/B 90;14;2,4 %;-;16;2,8 %;-
DIE LINKE;63;11,0 %;-;30;5,2 %;-
BVB / FREIE WÄHLER;26;4,5 %;-;5;0,9 %;-
FDP;2;0,3 %;-;3;0,5 %;-
Tierschutzpartei;-;-;-;14;2,4 %;-
Plus;16;2,8 %;-;8;1,4 %;-
BSW;-;-;-;135;23,4 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,2 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;4;0,7 %;-
