Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;522;-;-;522;-;-
Ungültige Stimmen;3;0,6 %;-;1;0,2 %;-
Gültige Stimmen;519;99,4 %;-;521;99,8 %;-
SPD;173;33,3 %;-;169;32,4 %;-
AfD;70;13,5 %;-;64;12,3 %;-
CDU;139;26,8 %;-;95;18,2 %;-
GRÜNE/B 90;23;4,4 %;-;40;7,7 %;-
DIE LINKE;59;11,4 %;-;25;4,8 %;-
BVB / FREIE WÄHLER;37;7,1 %;-;18;3,5 %;-
FDP;4;0,8 %;-;7;1,3 %;-
Tierschutzpartei;-;-;-;13;2,5 %;-
Plus;14;2,7 %;-;13;2,5 %;-
BSW;-;-;-;74;14,2 %;-
III. Weg;-;-;-;1;0,2 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,4 %;-
WU;-;-;-;0;0,0 %;-
