Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;627;-;-;627;-;-
Ungültige Stimmen;11;1,8 %;-;3;0,5 %;-
Gültige Stimmen;616;98,2 %;-;624;99,5 %;-
SPD;220;35,7 %;-;182;29,2 %;-
AfD;153;24,8 %;-;126;20,2 %;-
CDU;99;16,1 %;-;74;11,9 %;-
GRÜNE/B 90;23;3,7 %;-;32;5,1 %;-
DIE LINKE;49;8,0 %;-;17;2,7 %;-
BVB / FREIE WÄHLER;60;9,7 %;-;19;3,0 %;-
FDP;12;1,9 %;-;6;1,0 %;-
Tierschutzpartei;-;-;-;23;3,7 %;-
Plus;-;-;-;7;1,1 %;-
BSW;-;-;-;137;22,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;0;0,0 %;-
