Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;955;-;-;955;-;-
Ungültige Stimmen;8;0,8 %;-;5;0,5 %;-
Gültige Stimmen;947;99,2 %;-;950;99,5 %;-
SPD;309;32,6 %;-;284;29,9 %;-
AfD;220;23,2 %;-;182;19,2 %;-
CDU;127;13,4 %;-;114;12,0 %;-
GRÜNE/B 90;32;3,4 %;-;31;3,3 %;-
DIE LINKE;126;13,3 %;-;47;4,9 %;-
BVB / FREIE WÄHLER;121;12,8 %;-;38;4,0 %;-
FDP;12;1,3 %;-;5;0,5 %;-
Tierschutzpartei;-;-;-;34;3,6 %;-
Plus;-;-;-;11;1,2 %;-
BSW;-;-;-;199;20,9 %;-
III. Weg;-;-;-;1;0,1 %;-
DKP;-;-;-;1;0,1 %;-
DLW;-;-;-;3;0,3 %;-
WU;-;-;-;0;0,0 %;-
