Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;636;-;-;636;-;-
Ungültige Stimmen;3;0,5 %;-;2;0,3 %;-
Gültige Stimmen;633;99,5 %;-;634;99,7 %;-
SPD;250;39,5 %;-;181;28,5 %;-
AfD;155;24,5 %;-;140;22,1 %;-
CDU;86;13,6 %;-;84;13,2 %;-
GRÜNE/B 90;18;2,8 %;-;27;4,3 %;-
DIE LINKE;52;8,2 %;-;26;4,1 %;-
BVB / FREIE WÄHLER;63;10,0 %;-;28;4,4 %;-
FDP;9;1,4 %;-;5;0,8 %;-
Tierschutzpartei;-;-;-;15;2,4 %;-
Plus;-;-;-;7;1,1 %;-
BSW;-;-;-;116;18,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;4;0,6 %;-
WU;-;-;-;1;0,2 %;-
