Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0.0;-;-
Wählende;1.087;-;-;1.087;-;-
Ungültige Stimmen;16;1,5 %;+10;5.0;0,5 %;-01
Gültige Stimmen;1.071;98,5 %;-10;1.082;99,5 %;+01
SPD;291;27,2 %;+156;279.0;25,8 %;+39
AfD;307;28,7 %;+88;239.0;22,1 %;+00
CDU;268;25,0 %;+119;171.0;15,8 %;-02
GRÜNE/B 90;23;2,1 %;-24;24.0;2,2 %;-46
DIE LINKE;76;7,1 %;-331;38.0;3,5 %;-142
BVB / FREIE WÄHLER;91;8,5 %;+12;33.0;3,0 %;-46
FDP;15;1,4 %;-21;5.0;0,5 %;-40
Tierschutzpartei;-;-;-;24.0;2,2 %;-01
Plus;-;-;-;14.0;1,3 %;+03
BSW;-;-;-;235.0;21,7 %;+217
III. Weg;-;-;-;0.0;0,0 %;00
DKP;-;-;-;2.0;0,2 %;+02
DLW;-;-;-;16.0;1,5 %;+15
WU;-;-;-;2.0;0,2 %;+02
