Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0.0;-;-
Wählende;1.046;-;-;1.046;-;-
Ungültige Stimmen;12;1,1 %;-;2.0;0,2 %;-
Gültige Stimmen;1.034;98,9 %;-;1.044;99,8 %;-
SPD;370;35,8 %;-;294.0;28,2 %;-
AfD;252;24,4 %;-;217.0;20,8 %;-
CDU;191;18,5 %;-;157.0;15,0 %;-
GRÜNE/B 90;28;2,7 %;-;37.0;3,5 %;-
DIE LINKE;70;6,8 %;-;33.0;3,2 %;-
BVB / FREIE WÄHLER;97;9,4 %;-;42.0;4,0 %;-
FDP;26;2,5 %;-;5.0;0,5 %;-
Tierschutzpartei;-;-;-;25.0;2,4 %;-
Plus;-;-;-;12.0;1,1 %;-
BSW;-;-;-;218.0;20,9 %;-
III. Weg;-;-;-;1.0;0,1 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;1.0;0,1 %;-
WU;-;-;-;2.0;0,2 %;-
