Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;683;-;-;683;-;-
Ungültige Stimmen;4;0,6 %;-02;3;0,4 %;+01
Gültige Stimmen;679;99,4 %;+02;680;99,6 %;-01
SPD;218;32,1 %;-04;181;26,6 %;+34
AfD;161;23,7 %;+54;125;18,4 %;-05
CDU;141;20,8 %;+32;108;15,9 %;-11
GRÜNE/B 90;27;4,0 %;-54;31;4,6 %;-78
DIE LINKE;45;6,6 %;-73;18;2,6 %;-119
BVB / FREIE WÄHLER;63;9,3 %;+33;25;3,7 %;-15
FDP;24;3,5 %;+11;5;0,7 %;-34
Tierschutzpartei;-;-;-;22;3,2 %;+01
Plus;-;-;-;4;0,6 %;-08
BSW;-;-;-;150;22,1 %;+221
III. Weg;-;-;-;4;0,6 %;+06
DKP;-;-;-;2;0,3 %;+03
DLW;-;-;-;2;0,3 %;+03
WU;-;-;-;3;0,4 %;+04
