Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;626;-;-;626;-;-
Ungültige Stimmen;6;1,0 %;-;1;0,2 %;-
Gültige Stimmen;620;99,0 %;-;625;99,8 %;-
SPD;188;30,3 %;-;194;31,0 %;-
AfD;197;31,8 %;-;155;24,8 %;-
CDU;136;21,9 %;-;85;13,6 %;-
GRÜNE/B 90;6;1,0 %;-;5;0,8 %;-
DIE LINKE;28;4,5 %;-;14;2,2 %;-
BVB / FREIE WÄHLER;56;9,0 %;-;19;3,0 %;-
FDP;9;1,5 %;-;7;1,1 %;-
Tierschutzpartei;-;-;-;10;1,6 %;-
Plus;-;-;-;3;0,5 %;-
BSW;-;-;-;129;20,6 %;-
III. Weg;-;-;-;1;0,2 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;2;0,3 %;-
