Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;701;-;-;701;-;-
Ungültige Stimmen;8;1,1 %;+04;3;0,4 %;-01
Gültige Stimmen;693;98,9 %;-04;698;99,6 %;+01
SPD;157;22,7 %;+00;198;28,4 %;+45
AfD;174;25,1 %;+81;138;19,8 %;+16
CDU;121;17,5 %;+31;62;8,9 %;-70
GRÜNE/B 90;30;4,3 %;-148;25;3,6 %;-100
DIE LINKE;105;15,2 %;+04;40;5,7 %;-86
BVB / FREIE WÄHLER;71;10,2 %;+25;19;2,7 %;-28
FDP;35;5,1 %;+07;7;1,0 %;-19
Tierschutzpartei;-;-;-;34;4,9 %;+10
Plus;-;-;-;6;0,9 %;-07
BSW;-;-;-;158;22,6 %;+226
III. Weg;-;-;-;1;0,1 %;+01
DKP;-;-;-;1;0,1 %;+01
DLW;-;-;-;6;0,9 %;+09
WU;-;-;-;3;0,4 %;+04
