Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;618;-;-;618;-;-
Ungültige Stimmen;4;0,6 %;-10;2;0,3 %;-06
Gültige Stimmen;614;99,4 %;+10;616;99,7 %;+06
SPD;179;29,2 %;+69;194;31,5 %;+88
AfD;142;23,1 %;+38;134;21,8 %;+22
CDU;129;21,0 %;+39;70;11,4 %;-53
GRÜNE/B 90;12;2,0 %;-44;10;1,6 %;-52
DIE LINKE;62;10,1 %;-141;23;3,7 %;-144
BVB / FREIE WÄHLER;85;13,8 %;+75;23;3,7 %;-19
FDP;5;0,8 %;-36;1;0,2 %;-53
Tierschutzpartei;-;-;-;15;2,4 %;-18
Plus;-;-;-;1;0,2 %;-07
BSW;-;-;-;136;22,1 %;+221
III. Weg;-;-;-;1;0,2 %;+02
DKP;-;-;-;1;0,2 %;+02
DLW;-;-;-;6;1,0 %;+10
WU;-;-;-;1;0,2 %;+02
