Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;786;-;-;786;-;-
Ungültige Stimmen;7;0,9 %;-05;5;0,6 %;-07
Gültige Stimmen;779;99,1 %;+05;781;99,4 %;+07
SPD;159;20,4 %;+77;190;24,3 %;+63
AfD;244;31,3 %;+83;210;26,9 %;+28
CDU;181;23,2 %;+33;96;12,3 %;-65
GRÜNE/B 90;28;3,6 %;-64;26;3,3 %;-66
DIE LINKE;67;8,6 %;-169;20;2,6 %;-146
BVB / FREIE WÄHLER;93;11,9 %;+83;32;4,1 %;-01
FDP;7;0,9 %;-44;5;0,6 %;-55
Tierschutzpartei;-;-;-;12;1,5 %;+07
Plus;-;-;-;3;0,4 %;-04
BSW;-;-;-;174;22,3 %;+223
III. Weg;-;-;-;1;0,1 %;+01
DKP;-;-;-;2;0,3 %;+03
DLW;-;-;-;8;1,0 %;+10
WU;-;-;-;2;0,3 %;+03
