Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;598;-;-;598;-;-
Ungültige Stimmen;6;1,0 %;-02;2;0,3 %;-08
Gültige Stimmen;592;99,0 %;+02;596;99,7 %;+08
SPD;131;22,1 %;+22;139;23,3 %;+15
AfD;190;32,1 %;+141;163;27,3 %;+91
CDU;140;23,6 %;+29;84;14,1 %;-72
GRÜNE/B 90;18;3,0 %;-86;10;1,7 %;-85
DIE LINKE;38;6,4 %;-126;11;1,8 %;-139
BVB / FREIE WÄHLER;67;11,3 %;+44;24;4,0 %;-18
FDP;8;1,4 %;-23;5;0,8 %;-31
Tierschutzpartei;-;-;-;8;1,3 %;-07
Plus;-;-;-;8;1,3 %;+04
BSW;-;-;-;135;22,7 %;+227
III. Weg;-;-;-;1;0,2 %;+02
DKP;-;-;-;1;0,2 %;+02
DLW;-;-;-;3;0,5 %;+05
WU;-;-;-;4;0,7 %;+07
