Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;669;-;-;669;-;-
Ungültige Stimmen;6;0,9 %;-;0;0,0 %;-
Gültige Stimmen;663;99,1 %;-;669;100,0 %;-
SPD;199;30,0 %;-;212;31,7 %;-
AfD;141;21,3 %;-;113;16,9 %;-
CDU;171;25,8 %;-;103;15,4 %;-
GRÜNE/B 90;17;2,6 %;-;17;2,5 %;-
DIE LINKE;73;11,0 %;-;31;4,6 %;-
BVB / FREIE WÄHLER;56;8,4 %;-;11;1,6 %;-
FDP;6;0,9 %;-;2;0,3 %;-
Tierschutzpartei;-;-;-;11;1,6 %;-
Plus;-;-;-;10;1,5 %;-
BSW;-;-;-;152;22,7 %;-
III. Weg;-;-;-;1;0,1 %;-
DKP;-;-;-;4;0,6 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;2;0,3 %;-
