Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;479;-;-;479;-;-
Ungültige Stimmen;3;0,6 %;-00;1;0,2 %;-02
Gültige Stimmen;476;99,4 %;+00;478;99,8 %;+02
SPD;106;22,3 %;+01;146;30,5 %;+10
AfD;107;22,5 %;+65;104;21,8 %;+55
CDU;163;34,2 %;+17;77;16,1 %;-61
GRÜNE/B 90;11;2,3 %;-51;4;0,8 %;-78
DIE LINKE;-;-;-87;10;2,1 %;-83
BVB / FREIE WÄHLER;85;17,9 %;+87;26;5,4 %;-04
FDP;4;0,8 %;-33;2;0,4 %;-33
Tierschutzpartei;-;-;-;14;2,9 %;+05
Plus;-;-;-;4;0,8 %;+01
BSW;-;-;-;85;17,8 %;+178
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;2;0,4 %;+04
DLW;-;-;-;2;0,4 %;+04
WU;-;-;-;2;0,4 %;+04
