Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;370;-;-;370;-;-
Ungültige Stimmen;3;0,8 %;-02;1;0,3 %;-02
Gültige Stimmen;367;99,2 %;+02;369;99,7 %;+02
SPD;94;25,6 %;+27;108;29,3 %;+45
AfD;92;25,1 %;-24;79;21,4 %;-66
CDU;120;32,7 %;+94;91;24,7 %;+57
GRÜNE/B 90;10;2,7 %;-41;4;1,1 %;-43
DIE LINKE;-;-;-65;5;1,4 %;-79
BVB / FREIE WÄHLER;41;11,2 %;+35;16;4,3 %;-16
FDP;10;2,7 %;-25;3;0,8 %;-25
Tierschutzpartei;-;-;-;12;3,3 %;+08
Plus;-;-;-;0;0,0 %;-16
BSW;-;-;-;49;13,3 %;+133
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;2;0,5 %;+05
WU;-;-;-;0;0,0 %;00
