Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;883;-;-;883;-;-
Ungültige Stimmen;15;1,7 %;+05;4;0,5 %;-06
Gültige Stimmen;868;98,3 %;-05;879;99,5 %;+06
SPD;224;25,8 %;+51;239;27,2 %;+49
AfD;246;28,3 %;+76;186;21,2 %;+11
CDU;253;29,1 %;+29;160;18,2 %;-47
GRÜNE/B 90;16;1,8 %;-52;7;0,8 %;-52
DIE LINKE;-;-;-97;25;2,8 %;-79
BVB / FREIE WÄHLER;108;12,4 %;+54;45;5,1 %;-05
FDP;21;2,4 %;-61;10;1,1 %;-61
Tierschutzpartei;-;-;-;18;2,0 %;-17
Plus;-;-;-;7;0,8 %;-00
BSW;-;-;-;172;19,6 %;+196
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;6;0,7 %;+07
WU;-;-;-;4;0,5 %;+05
