Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;857;-;-;857;-;-
Ungültige Stimmen;9;1,1 %;+03;3;0,4 %;-00
Gültige Stimmen;848;98,9 %;-03;854;99,6 %;+00
SPD;193;22,8 %;+10;240;28,1 %;+41
AfD;235;27,7 %;+96;192;22,5 %;+32
CDU;265;31,2 %;-28;154;18,0 %;-88
GRÜNE/B 90;20;2,4 %;-42;14;1,6 %;-53
DIE LINKE;-;-;-82;10;1,2 %;-75
BVB / FREIE WÄHLER;126;14,9 %;+76;35;4,1 %;-07
FDP;9;1,1 %;-30;4;0,5 %;-47
Tierschutzpartei;-;-;-;16;1,9 %;-10
Plus;-;-;-;10;1,2 %;-04
BSW;-;-;-;170;19,9 %;+199
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;7;0,8 %;+08
WU;-;-;-;2;0,2 %;+02
