Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;990;-;-;990;-;-
Ungültige Stimmen;16;1,6 %;-;8;0,8 %;-
Gültige Stimmen;974;98,4 %;-;982;99,2 %;-
SPD;350;35,9 %;-;314;32,0 %;-
AfD;218;22,4 %;-;199;20,3 %;-
CDU;148;15,2 %;-;164;16,7 %;-
GRÜNE/B 90;9;0,9 %;-;9;0,9 %;-
DIE LINKE;45;4,6 %;-;26;2,6 %;-
BVB / FREIE WÄHLER;176;18,1 %;-;40;4,1 %;-
FDP;28;2,9 %;-;9;0,9 %;-
Tierschutzpartei;-;-;-;15;1,5 %;-
Plus;-;-;-;8;0,8 %;-
BSW;-;-;-;186;18,9 %;-
III. Weg;-;-;-;1;0,1 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;7;0,7 %;-
WU;-;-;-;4;0,4 %;-
