Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;704;-;-;704;-;-
Ungültige Stimmen;11;1,6 %;+09;4;0,6 %;+01
Gültige Stimmen;693;98,4 %;-09;700;99,4 %;-01
SPD;179;25,8 %;+98;167;23,9 %;+39
AfD;236;34,1 %;+89;191;27,3 %;+10
CDU;156;22,5 %;-45;110;15,7 %;-53
GRÜNE/B 90;13;1,9 %;-43;10;1,4 %;-50
DIE LINKE;32;4,6 %;-68;18;2,6 %;-94
BVB / FREIE WÄHLER;70;10,1 %;+30;17;2,4 %;-20
FDP;7;1,0 %;-61;8;1,1 %;-39
Tierschutzpartei;-;-;-;13;1,9 %;-11
Plus;-;-;-;8;1,1 %;-04
BSW;-;-;-;148;21,1 %;+211
III. Weg;-;-;-;3;0,4 %;+04
DKP;-;-;-;1;0,1 %;+01
DLW;-;-;-;5;0,7 %;+07
WU;-;-;-;1;0,1 %;+01
