Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;633;-;-;633;-;-
Ungültige Stimmen;9;1,4 %;+11;2;0,3 %;+00
Gültige Stimmen;624;98,6 %;-11;631;99,7 %;-00
SPD;145;23,2 %;+62;126;20,0 %;-27
AfD;245;39,3 %;+163;211;33,4 %;+74
CDU;132;21,2 %;-99;116;18,4 %;-55
GRÜNE/B 90;7;1,1 %;-57;4;0,6 %;-46
DIE LINKE;15;2,4 %;-88;3;0,5 %;-98
BVB / FREIE WÄHLER;72;11,5 %;+69;20;3,2 %;-09
FDP;8;1,3 %;-49;3;0,5 %;-39
Tierschutzpartei;-;-;-;11;1,7 %;-14
Plus;-;-;-;9;1,4 %;+11
BSW;-;-;-;124;19,7 %;+197
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;1;0,2 %;+02
WU;-;-;-;3;0,5 %;+05
