Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;678;-;-;678;-;-
Ungültige Stimmen;9;1,3 %;-;3;0,4 %;-
Gültige Stimmen;669;98,7 %;-;675;99,6 %;-
SPD;182;27,2 %;-;168;24,9 %;-
AfD;194;29,0 %;-;166;24,6 %;-
CDU;140;20,9 %;-;120;17,8 %;-
GRÜNE/B 90;15;2,2 %;-;10;1,5 %;-
DIE LINKE;25;3,7 %;-;7;1,0 %;-
BVB / FREIE WÄHLER;98;14,6 %;-;19;2,8 %;-
FDP;15;2,2 %;-;10;1,5 %;-
Tierschutzpartei;-;-;-;9;1,3 %;-
Plus;-;-;-;13;1,9 %;-
BSW;-;-;-;146;21,6 %;-
III. Weg;-;-;-;1;0,1 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;4;0,6 %;-
WU;-;-;-;2;0,3 %;-
