Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;716;-;-;716;-;-
Ungültige Stimmen;9;1,3 %;+10;3;0,4 %;+02
Gültige Stimmen;707;98,7 %;-10;713;99,6 %;-02
SPD;245;34,7 %;+166;235;33,0 %;+81
AfD;182;25,7 %;+56;145;20,3 %;-14
CDU;122;17,3 %;-89;125;17,5 %;-65
GRÜNE/B 90;15;2,1 %;-49;5;0,7 %;-51
DIE LINKE;20;2,8 %;-69;9;1,3 %;-48
BVB / FREIE WÄHLER;112;15,8 %;+13;32;4,5 %;-67
FDP;11;1,6 %;-28;1;0,1 %;-28
Tierschutzpartei;-;-;-;14;2,0 %;-03
Plus;-;-;-;6;0,8 %;+04
BSW;-;-;-;134;18,8 %;+188
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;4;0,6 %;+06
WU;-;-;-;3;0,4 %;+04
