Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;595;-;-;595;-;-
Ungültige Stimmen;7;1,2 %;+08;2;0,3 %;-00
Gültige Stimmen;588;98,8 %;-08;593;99,7 %;+00
SPD;134;22,8 %;+142;133;22,4 %;+75
AfD;246;41,8 %;+80;214;36,1 %;-13
CDU;128;21,8 %;-224;100;16,9 %;-98
GRÜNE/B 90;7;1,2 %;-31;9;1,5 %;-67
DIE LINKE;23;3,9 %;-11;12;2,0 %;-40
BVB / FREIE WÄHLER;43;7,3 %;+48;13;2,2 %;+15
FDP;7;1,2 %;-06;1;0,2 %;-27
Tierschutzpartei;-;-;-;7;1,2 %;-10
Plus;-;-;-;4;0,7 %;-04
BSW;-;-;-;94;15,9 %;+159
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;4;0,7 %;+07
WU;-;-;-;2;0,3 %;+03
