Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0.0;-;-
Wählende;1.275;-;-;1.275;-;-
Ungültige Stimmen;11;0,9 %;-43;3.0;0,2 %;-04
Gültige Stimmen;1.264;99,1 %;+43;1.272;99,8 %;+04
SPD;310;24,5 %;-34;330.0;25,9 %;-11
AfD;394;31,2 %;+312;350.0;27,5 %;+28
CDU;233;18,4 %;-110;176.0;13,8 %;-73
GRÜNE/B 90;13;1,0 %;-23;14.0;1,1 %;-21
DIE LINKE;109;8,6 %;-57;42.0;3,3 %;-90
BVB / FREIE WÄHLER;186;14,7 %;+68;26.0;2,0 %;-25
FDP;11;0,9 %;-33;7.0;0,6 %;-38
Tierschutzpartei;-;-;-;30.0;2,4 %;+06
Plus;-;-;-;9.0;0,7 %;-01
BSW;-;-;-;276.0;21,7 %;+217
III. Weg;-;-;-;2.0;0,2 %;+02
DKP;8;0,6 %;+06;1.0;0,1 %;+01
DLW;-;-;-;6.0;0,5 %;+05
WU;-;-;-;3.0;0,2 %;+02
