Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0.0;-;-
Wählende;1.433;-;-;1.433;-;-
Ungültige Stimmen;33;2,3 %;+17;32.0;2,2 %;+17
Gültige Stimmen;1.400;97,7 %;-17;1.401;97,8 %;-17
SPD;647;46,2 %;-26;503.0;35,9 %;-32
AfD;346;24,7 %;+78;316.0;22,6 %;+42
CDU;207;14,8 %;+32;155.0;11,1 %;-53
GRÜNE/B 90;13;0,9 %;-33;18.0;1,3 %;-35
DIE LINKE;83;5,9 %;-30;45.0;3,2 %;-76
BVB / FREIE WÄHLER;45;3,2 %;-27;25.0;1,8 %;-32
FDP;14;1,0 %;-17;5.0;0,4 %;-19
Tierschutzpartei;45;3,2 %;+32;29.0;2,1 %;-06
Plus;-;-;-;11.0;0,8 %;+02
BSW;-;-;-;288.0;20,6 %;+206
III. Weg;-;-;-;0.0;0,0 %;00
DKP;-;-;-;3.0;0,2 %;+02
DLW;-;-;-;3.0;0,2 %;+02
WU;-;-;-;0.0;0,0 %;00
