Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;792;-;-;792;-;-
Ungültige Stimmen;3;0,4 %;-06;0;0,0 %;-05
Gültige Stimmen;789;99,6 %;+06;792;100,0 %;+05
SPD;307;38,9 %;+73;275;34,7 %;+31
AfD;197;25,0 %;+00;173;21,8 %;-30
CDU;157;19,9 %;+73;114;14,4 %;-10
GRÜNE/B 90;15;1,9 %;-64;22;2,8 %;-38
DIE LINKE;38;4,8 %;-67;20;2,5 %;-98
BVB / FREIE WÄHLER;39;4,9 %;+05;11;1,4 %;-17
FDP;10;1,3 %;-33;5;0,6 %;-36
Tierschutzpartei;26;3,3 %;+33;11;1,4 %;-05
Plus;-;-;-;5;0,6 %;+06
BSW;-;-;-;147;18,6 %;+186
III. Weg;-;-;-;1;0,1 %;+01
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;7;0,9 %;+09
WU;-;-;-;1;0,1 %;+01
