Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0.0;-;-
Wählende;1.004;-;-;1.004;-;-
Ungültige Stimmen;9;0,9 %;-12;3.0;0,3 %;-19
Gültige Stimmen;995;99,1 %;+12;1.001;99,7 %;+19
SPD;350;35,2 %;+184;340.0;34,0 %;+94
AfD;219;22,0 %;+18;194.0;19,4 %;-35
CDU;286;28,7 %;+70;149.0;14,9 %;-62
GRÜNE/B 90;17;1,7 %;-45;17.0;1,7 %;-55
DIE LINKE;49;4,9 %;-190;20.0;2,0 %;-114
BVB / FREIE WÄHLER;44;4,4 %;-01;19.0;1,9 %;-22
FDP;10;1,0 %;-31;11.0;1,1 %;-30
Tierschutzpartei;20;2,0 %;+20;15.0;1,5 %;-02
Plus;-;-;-;4.0;0,4 %;+01
BSW;-;-;-;222.0;22,2 %;+222
III. Weg;-;-;-;3.0;0,3 %;+03
DKP;-;-;-;0.0;0,0 %;00
DLW;-;-;-;6.0;0,6 %;+06
WU;-;-;-;1.0;0,1 %;+01
