Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0.0;-;-
Wählende;1.042;-;-;1.042;-;-
Ungültige Stimmen;12;1,2 %;-04;4.0;0,4 %;-05
Gültige Stimmen;1.030;98,8 %;+04;1.038;99,6 %;+05
SPD;340;33,0 %;+45;364.0;35,1 %;+33
AfD;298;28,9 %;+93;247.0;23,8 %;+39
CDU;167;16,2 %;-42;112.0;10,8 %;-73
GRÜNE/B 90;22;2,1 %;-95;29.0;2,8 %;-56
DIE LINKE;79;7,7 %;-55;28.0;2,7 %;-63
BVB / FREIE WÄHLER;47;4,6 %;+14;19.0;1,8 %;-19
FDP;9;0,9 %;-27;8.0;0,8 %;-42
Tierschutzpartei;21;2,0 %;+20;11.0;1,1 %;-17
Plus;-;-;-;5.0;0,5 %;-06
BSW;-;-;-;194.0;18,7 %;+187
III. Weg;-;-;-;0.0;0,0 %;00
DKP;-;-;-;0.0;0,0 %;00
DLW;47;4,6 %;+46;16.0;1,5 %;+15
WU;-;-;-;5.0;0,5 %;+05
