Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;390;-;-;390;-;-
Ungültige Stimmen;2;0,5 %;-;0;0,0 %;-
Gültige Stimmen;388;99,5 %;-;390;100,0 %;-
SPD;116;29,9 %;-;133;34,1 %;-
AfD;113;29,1 %;-;92;23,6 %;-
CDU;111;28,6 %;-;57;14,6 %;-
GRÜNE/B 90;7;1,8 %;-;11;2,8 %;-
DIE LINKE;15;3,9 %;-;4;1,0 %;-
BVB / FREIE WÄHLER;15;3,9 %;-;7;1,8 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;4;1,0 %;-;3;0,8 %;-
Plus;-;-;-;2;0,5 %;-
BSW;-;-;-;73;18,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;7;1,8 %;-;6;1,5 %;-
WU;-;-;-;2;0,5 %;-
