Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;638;-;-;638;-;-
Ungültige Stimmen;2;0,3 %;-;1;0,2 %;-
Gültige Stimmen;636;99,7 %;-;637;99,8 %;-
SPD;353;55,5 %;-;255;40,0 %;-
AfD;156;24,5 %;-;140;22,0 %;-
CDU;68;10,7 %;-;79;12,4 %;-
GRÜNE/B 90;1;0,2 %;-;10;1,6 %;-
DIE LINKE;18;2,8 %;-;14;2,2 %;-
BVB / FREIE WÄHLER;25;3,9 %;-;10;1,6 %;-
FDP;8;1,3 %;-;5;0,8 %;-
Tierschutzpartei;-;-;-;6;0,9 %;-
Plus;-;-;-;2;0,3 %;-
BSW;-;-;-;114;17,9 %;-
III. Weg;-;-;-;1;0,2 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;0;0,0 %;-
Die PARTEI;7;1,1 %;-;-;-;-
