Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;725;-;-;725;-;-
Ungültige Stimmen;7;1,0 %;-03;3;0,4 %;-04
Gültige Stimmen;718;99,0 %;+03;722;99,6 %;+04
SPD;363;50,6 %;+76;245;33,9 %;+12
AfD;206;28,7 %;+46;193;26,7 %;+01
CDU;83;11,6 %;+11;99;13,7 %;-04
GRÜNE/B 90;3;0,4 %;-43;6;0,8 %;-39
DIE LINKE;21;2,9 %;-55;20;2,8 %;-69
BVB / FREIE WÄHLER;29;4,0 %;+01;24;3,3 %;-06
FDP;11;1,5 %;-30;7;1,0 %;-35
Tierschutzpartei;-;-;-;16;2,2 %;-04
Plus;-;-;-07;2;0,3 %;-06
BSW;-;-;-;105;14,5 %;+145
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;1;0,1 %;+01
DLW;-;-;-;3;0,4 %;+04
WU;-;-;-;1;0,1 %;+01
Die PARTEI;2;0,3 %;+03;-;-;-
