Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;337;-;-;337;-;-
Ungültige Stimmen;3;0,9 %;-00;0;0,0 %;-07
Gültige Stimmen;334;99,1 %;+00;337;100,0 %;+07
SPD;184;55,1 %;+173;115;34,1 %;+47
AfD;89;26,6 %;+20;82;24,3 %;-15
CDU;34;10,2 %;-32;37;11,0 %;-45
GRÜNE/B 90;0;0,0 %;-52;5;1,5 %;-46
DIE LINKE;10;3,0 %;-72;13;3,9 %;-88
BVB / FREIE WÄHLER;12;3,6 %;-04;4;1,2 %;-24
FDP;4;1,2 %;-32;4;1,2 %;-26
Tierschutzpartei;-;-;-;1;0,3 %;-19
Plus;-;-;-04;0;0,0 %;-08
BSW;-;-;-;75;22,3 %;+223
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;1;0,3 %;+03
WU;-;-;-;0;0,0 %;00
Die PARTEI;1;0,3 %;+03;-;-;-
