Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;614;-;-;614;-;-
Ungültige Stimmen;10;1,6 %;-;5;0,8 %;-
Gültige Stimmen;604;98,4 %;-;609;99,2 %;-
SPD;174;28,8 %;-;168;27,6 %;-
AfD;207;34,3 %;-;167;27,4 %;-
CDU;114;18,9 %;-;101;16,6 %;-
GRÜNE/B 90;11;1,8 %;-;7;1,1 %;-
DIE LINKE;67;11,1 %;-;20;3,3 %;-
BVB / FREIE WÄHLER;19;3,1 %;-;9;1,5 %;-
FDP;4;0,7 %;-;2;0,3 %;-
Tierschutzpartei;-;-;-;9;1,5 %;-
Plus;-;-;-;4;0,7 %;-
BSW;-;-;-;113;18,6 %;-
III. Weg;-;-;-;1;0,2 %;-
DKP;-;-;-;2;0,3 %;-
DLW;-;-;-;4;0,7 %;-
WU;-;-;-;2;0,3 %;-
EB Hoffmann;8;1,3 %;-;-;-;-
