Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;296;-;-;296;-;-
Ungültige Stimmen;12;4,1 %;-;6;2,0 %;-
Gültige Stimmen;284;95,9 %;-;290;98,0 %;-
SPD;85;29,9 %;-;88;30,3 %;-
AfD;95;33,5 %;-;83;28,6 %;-
CDU;48;16,9 %;-;34;11,7 %;-
GRÜNE/B 90;2;0,7 %;-;2;0,7 %;-
DIE LINKE;14;4,9 %;-;8;2,8 %;-
BVB / FREIE WÄHLER;29;10,2 %;-;5;1,7 %;-
FDP;1;0,4 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;12;4,1 %;-
Plus;-;-;-;1;0,3 %;-
BSW;-;-;-;55;19,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,3 %;-
WU;-;-;-;1;0,3 %;-
EB Hoffmann;10;3,5 %;-;-;-;-
