Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;282;-;-;282;-;-
Ungültige Stimmen;1;0,4 %;-;0;0,0 %;-
Gültige Stimmen;281;99,6 %;-;282;100,0 %;-
SPD;98;34,9 %;-;103;36,5 %;-
AfD;60;21,4 %;-;54;19,1 %;-
CDU;72;25,6 %;-;42;14,9 %;-
GRÜNE/B 90;2;0,7 %;-;7;2,5 %;-
DIE LINKE;8;2,8 %;-;2;0,7 %;-
BVB / FREIE WÄHLER;11;3,9 %;-;4;1,4 %;-
FDP;7;2,5 %;-;3;1,1 %;-
Tierschutzpartei;-;-;-;3;1,1 %;-
Plus;3;1,1 %;-;4;1,4 %;-
BSW;-;-;-;54;19,1 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;2;0,7 %;-;1;0,4 %;-
DLW;-;-;-;1;0,4 %;-
WU;-;-;-;4;1,4 %;-
Demokraten BB;18;6,4 %;-;-;-;-
