Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;429;-;-;429;-;-
Ungültige Stimmen;8;1,9 %;-;3;0,7 %;-
Gültige Stimmen;421;98,1 %;-;426;99,3 %;-
SPD;134;31,8 %;-;158;37,1 %;-
AfD;101;24,0 %;-;91;21,4 %;-
CDU;100;23,8 %;-;64;15,0 %;-
GRÜNE/B 90;2;0,5 %;-;6;1,4 %;-
DIE LINKE;16;3,8 %;-;5;1,2 %;-
BVB / FREIE WÄHLER;24;5,7 %;-;7;1,6 %;-
FDP;15;3,6 %;-;6;1,4 %;-
Tierschutzpartei;-;-;-;6;1,4 %;-
Plus;7;1,7 %;-;4;0,9 %;-
BSW;-;-;-;75;17,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;0;0,0 %;-;0;0,0 %;-
DLW;-;-;-;4;0,9 %;-
WU;-;-;-;0;0,0 %;-
Demokraten BB;22;5,2 %;-;-;-;-
