Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;321;-;-;321;-;-
Ungültige Stimmen;3;0,9 %;-;0;0,0 %;-
Gültige Stimmen;318;99,1 %;-;321;100,0 %;-
SPD;106;33,3 %;-;93;29,0 %;-
AfD;97;30,5 %;-;74;23,1 %;-
CDU;61;19,2 %;-;54;16,8 %;-
GRÜNE/B 90;7;2,2 %;-;4;1,2 %;-
DIE LINKE;13;4,1 %;-;5;1,6 %;-
BVB / FREIE WÄHLER;27;8,5 %;-;11;3,4 %;-
FDP;7;2,2 %;-;4;1,2 %;-
Tierschutzpartei;-;-;-;1;0,3 %;-
Plus;-;-;-;4;1,2 %;-
BSW;-;-;-;68;21,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,6 %;-
WU;-;-;-;1;0,3 %;-
