Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;306;-;-;306;-;-
Ungültige Stimmen;5;1,6 %;-;2;0,7 %;-
Gültige Stimmen;301;98,4 %;-;304;99,3 %;-
SPD;127;42,2 %;-;121;39,8 %;-
AfD;78;25,9 %;-;54;17,8 %;-
CDU;40;13,3 %;-;22;7,2 %;-
GRÜNE/B 90;8;2,7 %;-;5;1,6 %;-
DIE LINKE;23;7,6 %;-;8;2,6 %;-
BVB / FREIE WÄHLER;22;7,3 %;-;7;2,3 %;-
FDP;3;1,0 %;-;2;0,7 %;-
Tierschutzpartei;-;-;-;8;2,6 %;-
Plus;-;-;-;5;1,6 %;-
BSW;-;-;-;67;22,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,7 %;-
WU;-;-;-;3;1,0 %;-
