Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;368;-;-;368;-;-
Ungültige Stimmen;1;0,3 %;-;1;0,3 %;-
Gültige Stimmen;367;99,7 %;-;367;99,7 %;-
SPD;132;36,0 %;-;129;35,1 %;-
AfD;102;27,8 %;-;81;22,1 %;-
CDU;83;22,6 %;-;69;18,8 %;-
GRÜNE/B 90;3;0,8 %;-;5;1,4 %;-
DIE LINKE;18;4,9 %;-;8;2,2 %;-
BVB / FREIE WÄHLER;20;5,4 %;-;5;1,4 %;-
FDP;9;2,5 %;-;3;0,8 %;-
Tierschutzpartei;-;-;-;6;1,6 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;58;15,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,5 %;-
WU;-;-;-;1;0,3 %;-
