Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;531;-;-;531;-;-
Ungültige Stimmen;3;0,6 %;-;2;0,4 %;-
Gültige Stimmen;528;99,4 %;-;529;99,6 %;-
SPD;237;44,9 %;-;202;38,2 %;-
AfD;113;21,4 %;-;86;16,3 %;-
CDU;72;13,6 %;-;49;9,3 %;-
GRÜNE/B 90;13;2,5 %;-;30;5,7 %;-
DIE LINKE;43;8,1 %;-;18;3,4 %;-
BVB / FREIE WÄHLER;39;7,4 %;-;12;2,3 %;-
FDP;11;2,1 %;-;9;1,7 %;-
Tierschutzpartei;-;-;-;14;2,6 %;-
Plus;-;-;-;12;2,3 %;-
BSW;-;-;-;89;16,8 %;-
III. Weg;-;-;-;1;0,2 %;-
DKP;-;-;-;1;0,2 %;-
DLW;-;-;-;4;0,8 %;-
WU;-;-;-;2;0,4 %;-
