Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;2.205;-;-;2.205;-;-
Wählende;1.064;48,3 %;+34;1.064;48,3 %;+34
Ungültige Stimmen;14;1,3 %;-02;16.0;1,5 %;-02
Gültige Stimmen;1.050;98,7 %;+02;1.048;98,5 %;+02
SPD;323;30,8 %;+26;316.0;30,2 %;-11
AfD;416;39,6 %;+176;403.0;38,5 %;+150
CDU;172;16,4 %;-56;102.0;9,7 %;-83
GRÜNE/B 90;13;1,2 %;-52;21.0;2,0 %;-42
DIE LINKE;50;4,8 %;-61;17.0;1,6 %;-61
BVB / FREIE WÄHLER;63;6,0 %;-19;21.0;2,0 %;-24
FDP;8;0,8 %;-19;3.0;0,3 %;-41
Tierschutzpartei;-;-;-;12.0;1,1 %;-15
Plus;-;-;-;7.0;0,7 %;-07
BSW;-;-;-;144.0;13,7 %;+137
III. Weg;5;0,5 %;+05;1.0;0,1 %;+01
DKP;-;-;-;0.0;0,0 %;00
DLW;-;-;-;1.0;0,1 %;+01
WU;-;-;-;0.0;0,0 %;00
