Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;3.209;-;-;3.209;-;-
Wählende;2.346;73,1 %;+107;2.346;73,1 %;+107
Ungültige Stimmen;34;1,4 %;+04;28;1,2 %;+02
Gültige Stimmen;2.312;98,6 %;-04;2.318;98,8 %;-02
SPD;864;37,4 %;+44;685;29,6 %;-19
AfD;805;34,8 %;+145;740;31,9 %;+106
CDU;329;14,2 %;-48;288;12,4 %;-46
GRÜNE/B 90;32;1,4 %;-61;72;3,1 %;-49
DIE LINKE;99;4,3 %;-64;65;2,8 %;-76
BVB / FREIE WÄHLER;107;4,6 %;-20;42;1,8 %;-28
FDP;17;0,7 %;-22;15;0,6 %;-37
Tierschutzpartei;-;-;-;34;1,5 %;-07
Plus;18;0,8 %;+08;11;0,5 %;-01
BSW;-;-;-;331;14,3 %;+143
III. Weg;6;0,3 %;+03;4;0,2 %;+02
DKP;-;-;-;2;0,1 %;+01
DLW;-;-;-;27;1,2 %;+12
WU;-;-;-;2;0,1 %;+01
EB Mießner;35;1,5 %;+15;-;-;-
