Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;353;-;-;353;-;-
Wählende;215;60,9 %;+59;215;60,9 %;+59
Ungültige Stimmen;3;1,4 %;+04;4;1,9 %;+14
Gültige Stimmen;212;98,6 %;-04;211;98,1 %;-14
SPD;67;31,6 %;+46;51;24,2 %;-02
AfD;99;46,7 %;+177;100;47,4 %;+180
CDU;29;13,7 %;-28;30;14,2 %;-32
GRÜNE/B 90;1;0,5 %;-50;2;0,9 %;-55
DIE LINKE;9;4,2 %;-58;6;2,8 %;-76
BVB / FREIE WÄHLER;5;2,4 %;-56;1;0,5 %;-55
FDP;1;0,5 %;-35;1;0,5 %;-40
Tierschutzpartei;-;-;-;1;0,5 %;-00
Plus;0;0,0 %;00;1;0,5 %;-05
BSW;-;-;-;17;8,1 %;+81
III. Weg;0;0,0 %;00;1;0,5 %;+05
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;0;0,0 %;00
WU;-;-;-;0;0,0 %;00
EB Mießner;1;0,5 %;+05;-;-;-
