Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;7.374;-;-;7.374;-;-
Wählende;5.201;70,5 %;+128;5.201;70,5 %;+128
Ungültige Stimmen;72;1,4 %;-05;45.0;0,9 %;-11
Gültige Stimmen;5.129;98,6 %;+05;5.156;99,1 %;+11
SPD;1.659;32,3 %;+83;1.514;29,4 %;+01
AfD;1.804;35,2 %;+161;1.608;31,2 %;+100
CDU;853;16,6 %;-63;659.0;12,8 %;-64
GRÜNE/B 90;92;1,8 %;-128;160.0;3,1 %;-68
DIE LINKE;276;5,4 %;-52;143.0;2,8 %;-75
BVB / FREIE WÄHLER;275;5,4 %;+08;132.0;2,6 %;-12
FDP;66;1,3 %;-13;31.0;0,6 %;-25
Tierschutzpartei;-;-;-;102.0;2,0 %;-04
Plus;-;-;-07;42.0;0,8 %;-01
BSW;-;-;-;688.0;13,3 %;+133
III. Weg;-;-;-;2.0;0,0 %;+00
DKP;-;-;-;4.0;0,1 %;+01
DLW;104;2,0 %;+20;63.0;1,2 %;+12
WU;-;-;-;8.0;0,2 %;+02
