Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;19.607;-;-;19.607;-;-
Wählende;12.495;63,7 %;+92;12.495;63,7 %;+92
Ungültige Stimmen;169;1,4 %;+02;95.0;0,8 %;-04
Gültige Stimmen;12.326;98,6 %;-02;12.4;99,2 %;+04
SPD;3.973;32,2 %;+98;3.893;31,4 %;+61
AfD;4.176;33,9 %;+88;3.963;32,0 %;+56
CDU;2.307;18,7 %;+28;1.574;12,7 %;-30
GRÜNE/B 90;134;1,1 %;-38;246.0;2,0 %;-51
DIE LINKE;922;7,5 %;-162;405.0;3,3 %;-120
BVB / FREIE WÄHLER;565;4,6 %;-04;200.0;1,6 %;-16
FDP;95;0,8 %;-21;64.0;0,5 %;-30
Tierschutzpartei;-;-;-;213.0;1,7 %;-04
Plus;-;-;-;80.0;0,6 %;-07
BSW;-;-;-;1.665;13,4 %;+134
III. Weg;-;-;-;21.0;0,2 %;+02
DKP;-;-;-;7.0;0,1 %;+01
DLW;154;1,2 %;+12;52.0;0,4 %;+04
WU;-;-;-;17.0;0,1 %;+01
