Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;983;-;-;983;-;-
Wählende;510;51,9 %;+93;510;51,9 %;+93
Ungültige Stimmen;3;0,6 %;-06;3;0,6 %;+01
Gültige Stimmen;507;99,4 %;+06;507;99,4 %;-01
SPD;181;35,7 %;+16;147;29,0 %;-51
AfD;176;34,7 %;+141;164;32,3 %;+126
CDU;71;14,0 %;-57;60;11,8 %;-55
GRÜNE/B 90;5;1,0 %;-38;7;1,4 %;-39
DIE LINKE;16;3,2 %;-112;15;3,0 %;-101
BVB / FREIE WÄHLER;17;3,4 %;-10;10;2,0 %;-11
FDP;1;0,2 %;-20;3;0,6 %;-30
Tierschutzpartei;-;-;-;14;2,8 %;-06
Plus;-;-;-;1;0,2 %;-03
BSW;-;-;-;60;11,8 %;+118
III. Weg;-;-;-;1;0,2 %;+02
DKP;-;-;-;1;0,2 %;+02
DLW;40;7,9 %;+79;23;4,5 %;+45
WU;-;-;-;1;0,2 %;+02
